date,open,high,low,close,volume
2025-03-03,130.38,131.6,128.87,129.23,5209536
2025-03-04,129.52,133.35,129.2356,131.82,4291118
2025-03-05,131.595,134.51,131.31,134.05,5218053
2025-03-06,133.65,137.53,133.37,136.79,3677066
2025-03-07,136.19,140.42,136.0,140.04,3356884
2025-03-10,139.75,142.97,139.22,140.43,5437670
2025-03-11,140.9,140.9,136.9,137.88,3837188
2025-03-12,137.0,138.15,135.73,136.12,3177628
2025-03-13,135.79,138.26,135.23,137.72,3165084
2025-03-14,138.15,139.23,137.87,138.71,3065526
2025-03-17,138.98,143.37,138.6,142.9,4510615
2025-03-18,142.12,143.43,141.54,141.87,2728454
2025-03-19,142.02,142.73,141.58,141.97,2527727
2025-03-20,141.41,143.7,141.185,143.25,2883672
2025-03-21,142.27,145.22,142.0,144.3,9254820
2025-03-24,145.78,145.87,143.57,144.55,2848103
2025-03-25,145.28,146.45,143.77,144.5,2382114
2025-03-26,144.88,146.36,144.575,145.19,2219176
2025-03-27,145.0,146.41,144.4,145.3,2333030
2025-03-28,145.11,145.74,144.105,144.25,2423564
2025-03-31,144.12,144.68,143.03,144.52,4213627
2025-04-01,145.0,145.83,144.26,145.67,2278764
2025-04-02,145.0,145.6,143.3,144.87,2022235
2025-04-03,143.73,147.1,143.34,144.85,4330657
2025-04-04,143.1,144.685,135.03,135.34,4711879
2025-04-07,132.96,136.75,131.15,134.62,5825148
2025-04-08,135.26,136.83,131.16,132.53,3425728
2025-04-09,131.84,140.5864,131.81,136.58,5410138
2025-04-10,136.17,141.295,135.43,139.39,3840929
2025-04-11,139.39,143.44,137.935,142.93,3116908
2025-04-14,143.16,146.21,142.506,145.5,2600586
2025-04-15,145.66,146.29,144.49,145.61,2277480
2025-04-16,145.49,145.78,142.69,142.97,2215855
2025-04-17,143.27,146.09,142.97,145.61,1761862
2025-04-21,145.02,145.02,141.04,141.93,2712343
2025-04-22,144.1,146.755,143.38,145.87,2361100
2025-04-23,146.09,146.47,142.83,143.73,2412022
2025-04-24,144.8,146.62,143.37,146.19,2274743
2025-04-25,146.57,147.25,145.42,146.6,1836660
2025-04-28,146.67,147.44,145.49,146.72,2761820
2025-04-29,146.12,147.135,145.62,145.97,2233528
2025-04-30,145.49,146.05,143.45,145.09,2802044
2025-05-01,145.18,146.93,143.98,145.1,3328770
2025-05-02,149.0,154.915,147.85,151.1,5109195
2025-05-05,151.33,155.34,150.72,154.74,4308783
2025-05-06,152.845,155.77,152.26,154.54,3011753
2025-05-07,158.005,160.7037,153.6716,155.5,5444708
2025-05-08,155.87,156.7,153.2,155.66,3982804
2025-05-09,155.67,156.2,153.07,153.3,2921878
2025-05-12,153.34,153.8,148.39,149.27,3736226
2025-05-13,148.23,150.365,148.23,149.06,3582884
2025-05-14,148.07,148.96,146.53,147.23,2759480
2025-05-15,147.74,150.62,147.63,149.57,3711161
2025-05-16,149.79,151.73,149.2,151.54,3934769
2025-05-19,149.7,152.205,149.04,150.48,4010139
2025-05-20,150.62,151.94,149.97,151.92,2172108
2025-05-21,150.72,151.52,150.31,150.5,2880389
2025-05-22,151.16,151.41,146.47,146.63,4574625
2025-05-23,146.87,147.925,146.46,146.89,2108705
2025-05-27,147.54,147.94,146.235,146.91,4489658
2025-05-28,146.96,147.85,146.39,146.88,2280566
2025-05-29,146.88,147.105,141.19,142.84,3517092
2025-05-30,143.19,144.07,141.61,143.78,5555324
2025-06-02,143.61,146.2,143.51,145.88,3418176
2025-06-03,145.23,146.27,144.6671,146.24,2863817
2025-06-04,146.06,148.95,145.7301,148.46,2928015
2025-06-05,148.9,148.97,146.87,147.88,2610254
2025-06-06,148.17,150.92,148.0,149.57,2783787
2025-06-09,149.01,149.44,146.025,146.92,3042708
2025-06-10,147.05,148.0,145.7,147.16,4231274
2025-06-11,147.0,147.71,145.545,147.68,1749588
2025-06-12,147.63,150.08,147.33,150.05,1926340
2025-06-13,149.05,150.3,148.29,148.48,1703905
2025-06-16,148.69,151.18,147.79,151.1,2621764
2025-06-17,151.04,151.07,149.52,150.33,2251424
2025-06-18,150.8,153.43,150.36,151.0,3226976
2025-06-20,151.75,152.63,149.91,150.56,6574609
2025-06-23,150.94,154.47,150.13,154.41,2752016
2025-06-24,156.63,158.11,155.33,157.95,3882999
2025-06-25,158.23,159.05,157.4,157.82,2239181
2025-06-26,157.74,158.14,156.94,157.73,1455475
2025-06-27,157.69,158.59,157.02,157.74,2316535
2025-06-30,157.74,159.91,156.86,159.7,2698481
2025-07-01,159.53,160.985,158.56,159.06,3285442
2025-07-02,158.41,159.1,156.76,157.03,2901521
2025-07-03,157.36,157.9899,153.63,155.37,1321185
2025-07-07,155.72,156.155,153.33,153.53,2502828
2025-07-08,153.38,154.0771,152.35,152.64,1710458
2025-07-09,153.11,153.11,151.31,152.68,1845138
2025-07-10,151.88,152.91,150.92,151.3,1613126
2025-07-11,151.14,151.335,148.37,148.69,1840444
2025-07-14,149.1,150.29,148.01,148.83,2857100
2025-07-15,148.6,149.26,146.97,148.74,2075983
2025-07-16,147.83,150.09,147.83,149.35,1889635
2025-07-17,149.0,150.34,148.56,149.83,1828454
2025-07-18,150.29,151.92,149.36,150.11,3850801
2025-07-21,150.3,153.59,149.785,153.39,2758440
2025-07-22,154.8,158.65,154.46,157.02,3204556
2025-07-23,156.62,156.9,153.29,153.73,2586509
2025-07-24,152.89,153.97,152.0,152.64,2482517
2025-07-25,152.96,153.21,151.48,151.68,1450558
2025-07-28,151.0,152.88,150.97,151.99,2991350
2025-07-29,152.41,153.29,146.97,147.79,3172230
2025-07-30,151.895,159.3699,150.87,156.26,6044480
2025-07-31,155.28,156.19,152.195,152.49,3640962
2025-08-01,152.76,157.75,151.5,157.08,4396992
2025-08-04,157.715,160.32,156.37,159.77,2745280
2025-08-05,161.7,161.89,159.1,160.99,2933262
2025-08-06,161.3,163.07,159.59,163.0,2597901
2025-08-07,164.25,164.345,161.15,162.75,2856554
2025-08-08,163.49,167.76,163.25,167.64,4591323
2025-08-11,170.565,176.62,170.1,176.11,6125187
2025-08-12,176.3,178.8,174.39,177.91,3792689
2025-08-13,177.79,179.84,177.0,178.4,3571362
2025-08-14,177.81,180.9,177.38,179.01,3751072
2025-08-15,179.12,179.12,172.94,174.67,3428841
2025-08-18,172.33,173.41,168.08,169.16,3600169
2025-08-19,168.66,171.09,167.445,170.68,2413522
2025-08-20,170.69,172.49,170.0,171.33,2289881
2025-08-21,170.71,171.75,170.02,171.55,1655959
2025-08-22,172.43,173.11,170.19,171.4,1707317
2025-08-25,171.61,173.55,170.99,172.76,1928758
2025-08-26,172.03,173.25,171.19,172.23,2594407
2025-08-27,172.61,173.7145,171.72,172.6,2099966
2025-08-28,172.36,173.75,169.0101,170.99,2628473
2025-08-29,171.23,172.54,170.67,171.95,2090029
2025-09-02,170.0,173.26,169.7975,171.45,2359233
2025-09-03,170.96,171.96,167.5,167.86,2748264
2025-09-04,168.17,168.29,165.53,168.03,3410993
2025-09-05,168.84,169.32,166.775,168.62,2205558
2025-09-08,169.44,170.125,167.18,168.06,1691197
2025-09-09,168.32,168.32,165.96,166.04,2058823
2025-09-10,165.81,170.35,164.5,170.27,2832031
2025-09-11,171.09,171.27,168.53,169.89,2411062
2025-09-12,169.59,173.14,169.0,172.38,1996395
2025-09-15,171.52,172.6875,170.73,171.765,2042714
2025-09-16,171.93,175.56,171.01,172.08,3189333
2025-09-17,172.22,174.24,170.51,173.59,1883700
2025-09-18,172.93,174.79,171.8801,173.17,2354764
2025-09-19,172.85,174.69,171.19,173.09,8449842
2025-09-22,173.69,173.79,171.72,173.42,2842923
2025-09-23,173.61,175.26,173.22,174.07,2158910
2025-09-24,174.12,174.9621,166.1,167.35,3099094
2025-09-25,168.12,169.1934,167.79,168.32,1944289
2025-09-26,173.0,197.33,170.08,193.35,14485678
2025-09-29,203.495,203.75,201.72,202.05,22698539
2025-09-30,201.75,202.15,201.3,201.7,8930135
2025-10-01,201.52,202.31,201.4,201.63,3764653
2025-10-02,201.52,201.6,200.8,201.0,5497447
2025-10-03,200.91,201.25,200.55,200.69,3672125
2025-10-06,200.67,200.85,200.38,200.46,5540972
2025-10-07,200.4,200.6,200.0,200.02,3385236
2025-10-08,200.34,200.48,200.0,200.01,3883181
2025-10-09,200.0,200.255,199.81,200.05,3618268
2025-10-10,200.04,200.39,199.8,200.02,3524147
2025-10-13,200.05,200.62,200.05,200.29,2431568
2025-10-14,200.11,200.78,200.035,200.2,3145850
2025-10-15,200.31,201.11,200.29,200.75,3807297
2025-10-16,200.75,201.15,200.245,200.35,2631726
2025-10-17,200.54,200.745,200.13,200.3,4512065
2025-10-20,200.545,200.71,200.4,200.59,2322808
2025-10-21,200.51,200.705,200.14,200.55,2619994
2025-10-22,200.46,200.87,200.31,200.75,3836583
2025-10-23,200.65,200.76,200.49,200.62,3357439
2025-10-24,200.66,200.9,200.53,200.84,3406108
2025-10-27,200.63,200.9,200.45,200.5,1939285
2025-10-28,200.61,200.67,200.25,200.3,3019130
2025-10-29,200.22,200.6,200.01,200.2,2166734
2025-10-30,200.2,200.58,199.74,199.92,2144067
2025-10-31,200.04,200.45,200.0,200.06,2267258
2025-11-03,200.05,200.14,199.755,199.89,2618654
2025-11-04,200.16,200.81,199.81,200.78,1772238
2025-11-05,200.53,200.96,200.4,200.74,1301173
2025-11-06,200.55,200.99,200.3,200.38,1953206
2025-11-07,200.57,200.71,200.37,200.6,1755971
2025-11-10,200.6,201.53,200.56,201.4,1623203
2025-11-11,201.44,202.05,201.14,201.93,1717609
2025-11-12,201.63,202.22,201.14,202.0,2634485
2025-11-13,201.8,202.1,201.33,201.34,1727883
2025-11-14,201.28,201.82,201.05,201.06,1767488
2025-11-17,201.42,201.5,200.71,200.77,2944424
2025-11-18,201.0,202.14,200.91,201.81,2394511
2025-11-19,201.33,202.165,201.33,201.58,2024769
2025-11-20,201.65,202.235,201.05,201.12,1823512
2025-11-21,201.3,201.5,200.575,200.69,3904708
2025-11-24,201.0,201.91,200.975,201.05,3114537
2025-11-25,201.3,201.9551,201.24,201.66,1234267
2025-11-26,201.88,202.04,201.7189,201.92,1627257
2025-11-28,201.865,202.21,201.75,202.03,896779
2025-12-01,201.99,202.86,201.7,202.62,3570226
2025-12-02,202.81,203.4,202.54,203.24,2288373
2025-12-03,202.93,203.4,202.8,203.21,1516973
2025-12-04,203.07,203.58,203.07,203.44,1625375
2025-12-05,203.32,204.01,203.32,203.92,1936731
2025-12-08,204.13,204.64,203.49,203.53,1532339
2025-12-09,203.65,204.4,203.6,203.82,1886069
2025-12-10,203.69,203.8,203.51,203.51,2010119
2025-12-11,203.55,204.3,203.4,203.66,2393218
2025-12-12,203.8,203.96,203.52,203.73,2269883
2025-12-15,203.92,204.48,203.72,204.2,3225089
2025-12-16,204.15,204.33,204.05,204.2,1667816
2025-12-17,204.15,204.28,203.49,203.63,1964660
2025-12-18,203.8,204.1799,203.8,203.9,1467396
2025-12-19,203.58,204.5,203.01,203.92,5760577
2025-12-22,204.19,204.2,203.75,203.79,1194226
2025-12-23,203.87,204.38,203.79,204.27,1450244
2025-12-24,204.24,204.84,204.24,204.78,469489
2025-12-26,204.58,204.8,204.38,204.79,474397
2025-12-29,204.46,204.76,204.26,204.27,1388286
2025-12-30,204.3,204.51,204.27,204.35,760794
2025-12-31,204.35,204.885,204.25,204.33,1404090
2026-01-02,204.4,204.72,204.26,204.41,1944230
2026-01-05,204.48,204.56,204.29,204.36,1975078
2026-01-06,204.36,204.68,204.25,204.28,1551284
2026-01-07,204.26,204.51,204.26,204.5,1917735
2026-01-08,204.33,204.45,204.2,204.22,1548136
2026-01-09,204.25,204.28,204.1,204.1,1251774
2026-01-12,204.1,204.4,204.05,204.25,2744610
2026-01-13,204.25,204.6,204.25,204.33,2179545
2026-01-14,204.28,204.37,204.19,204.2,1261174
2026-01-15,204.3,204.37,204.125,204.15,1214827
2026-01-16,204.18,204.34,204.15,204.25,2067882
2026-01-20,204.09,204.2,203.7,204.0,2577153
2026-01-21,203.91,204.3,203.85,204.15,1446172
2026-01-22,204.15,204.48,203.85,204.38,1935355
2026-01-23,204.23,204.27,203.89,204.0,1644702
2026-01-26,204.31,204.5,203.9,204.4,1991778
2026-01-27,204.18,204.42,204.11,204.37,1151989
2026-01-28,204.2,204.43,203.82,203.94,1754255
2026-01-29,203.94,204.04,203.62,203.95,2661672
2026-01-30,203.72,203.995,203.05,203.92,4233663
2026-02-02,203.81,204.15,203.55,203.6,2064507
2026-02-03,203.83,203.85,201.3,201.39,6696743
2026-02-04,201.52,201.56,196.4,196.84,11261025
2026-02-05,196.75,199.73,196.41,197.93,4006807
2026-02-06,199.4,200.25,197.94,200.0,3744261
2026-02-09,200.01,202.02,199.9,200.87,4441480
2026-02-10,202.16,203.35,201.18,202.58,2839645
2026-02-11,202.56,202.8,201.29,202.24,2806067
2026-02-12,202.5,202.78,200.2,200.46,4249740
2026-02-13,200.0,201.08,199.98,200.62,2124569
2026-02-17,200.63,200.75,199.12,199.53,3742422
2026-02-18,199.41,200.74,199.27,200.23,1905140
2026-02-19,199.98,200.14,199.41,199.88,1310309
2026-02-20,199.7,200.6,199.575,200.4,2255141
2026-02-23,200.5,201.0,200.04,200.48,1904088
2026-02-24,200.48,201.21,200.12,201.0,2863558
2026-02-25,200.81,201.99,200.81,201.98,1751667
2026-02-26,201.83,202.0,200.885,201.07,1520004
2026-02-27,200.69,201.28,200.21,200.57,2619218
2026-03-02,200.25,201.5,200.21,201.06,2011617
2026-03-03,200.51,201.44,200.35,201.22,2230226
2026-03-04,201.13,201.865,200.61,201.73,2062097
2026-03-05,201.02,201.4,200.61,200.76,1942448
2026-03-06,198.16,198.8,197.4682,198.0,4946983
2026-03-09,197.85,199.96,197.01,199.27,3344250
2026-03-10,199.0,200.56,198.2623,200.07,2851438
2026-03-11,200.07,200.61,198.53,199.92,3607196
2026-03-12,199.55,199.92,199.05,199.08,1772211
2026-03-13,199.98,199.98,198.77,199.24,1385742
2026-03-16,199.71,200.39,199.51,200.21,1840702
2026-03-17,200.05,200.89,199.88,200.13,1377481
2026-03-18,200.27,201.0,200.155,200.61,2118914
2026-03-19,200.63,200.82,200.01,200.69,1629740
2026-03-20,200.5,200.975,200.21,200.51,5139417
2026-03-23,201.06,201.4,200.63,201.13,2886911
2026-03-24,201.15,201.75,200.96,201.62,1976777
2026-03-25,201.59,202.46,201.5,202.34,2279283
2026-03-26,202.24,202.62,201.77,201.91,2864877
2026-03-27,201.69,202.13,201.3,202.01,2001786
2026-03-30,202.5,202.83,202.19,202.57,1576707
2026-03-31,202.8,203.9,202.61,203.87,3506126
2026-04-01,203.35,204.2,202.915,203.58,2179656
2026-04-02,202.99,203.64,202.99,203.6,872673
2026-04-06,203.46,204.18,203.32,204.16,960984
2026-04-07,203.78,204.0,203.63,203.95,1265839
2026-04-08,203.7,204.22,203.7,203.99,2123573
2026-04-09,203.9,203.94,202.14,202.2,2371041
2026-04-10,202.35,202.9155,202.05,202.74,1542409
2026-04-13,202.73,202.85,202.12,202.56,1367438
2026-04-14,202.4,203.52,202.39,202.85,1344986
2026-04-15,203.25,203.53,202.77,203.24,2134720
2026-04-16,203.53,203.65,203.08,203.37,1558185
2026-04-17,203.83,203.92,203.495,203.83,1709756
2026-04-20,203.72,204.0,203.14,203.36,1373703
2026-04-21,203.1,203.56,203.0,203.55,1010617
2026-04-22,203.78,203.81,202.65,202.78,1404974
2026-04-23,202.78,202.965,202.275,202.51,1330368
2026-04-24,202.635,202.745,202.22,202.67,1125150
2026-04-27,202.81,203.36,202.21,202.45,1833163
2026-04-28,203.47,203.64,202.31,202.53,1715263
2026-04-29,202.31,202.795,201.95,202.67,1327024
2026-04-30,202.28,202.48,201.78,202.37,1791040
2026-05-01,202.69,202.69,201.97,202.09,1250081
2026-05-04,201.87,202.3,201.72,201.82,1429701
2026-05-05,201.95,202.08,201.39,201.57,1401221
2026-05-06,201.48,202.06,200.6,200.79,2845478
2026-05-07,200.74,201.27,200.25,200.85,2215058
2026-05-08,200.65,200.78,200.28,200.44,2738171
2026-05-11,200.6,200.6,200.07,200.22,2373085
2026-05-12,200.24,200.92,199.94,200.19,2134190
2026-05-13,200.01,200.445,199.45,200.18,2184329
2026-05-14,199.9,200.8,199.8125,200.78,1107186
2026-05-15,200.155,200.85,200.145,200.64,1768681
2026-05-18,200.15,201.57,200.0,201.05,2291883
2026-05-19,201.24,201.74,201.0,201.7,1521653
2026-05-20,201.36,201.73,200.78,201.59,1488614
2026-05-21,201.4,201.95,201.19,201.87,1331369
2026-05-22,201.79,201.85,200.73,200.97,2333935
2026-05-26,200.6065,201.13,200.49,201.13,1518093
2026-05-27,200.8,201.41,200.5,200.68,1554399
2026-05-28,200.51,201.275,200.36,201.15,1640427
